time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-07-01T19:28:30.262Z,28.2274,57.336,10,4.2,mb,39,84,3.422,0.54,us,us6000hz82,2022-09-03T21:03:27.040Z,"123 km NNE of M?n?b, Iran",earthquake,8.7,1.9,0.112,22,reviewed,us,us
2022-07-01T14:04:22.509Z,27.8272,57.3913,29.413,4.4,mb,68,83,3.061,0.47,us,us6000hz4b,2022-09-03T21:03:26.040Z,"82 km NNE of M?n?b, Iran",earthquake,8.48,5.412,0.076,50,reviewed,us,us
2022-06-29T00:01:19.375Z,28.1218,51.6527,10,4.1,mb,30,81,5.16,0.68,us,us6000hzsl,2022-09-03T21:03:28.040Z,"120 km SW of F?r?z?b?d, Iran",earthquake,5.6,1.9,0.135,15,reviewed,us,us
2022-06-26T15:39:02.179Z,31.8295,57.3244,10,4.3,mb,45,97,6.929,0.92,us,us7000hkeg,2022-09-03T21:03:41.040Z,"79 km NE of R?var, Iran",earthquake,11.9,1.9,0.101,30,reviewed,us,us
2022-06-26T13:07:17.645Z,31.5851,57.2418,10,4.9,mb,90,62,6.678,0.67,us,us7000hkdl,2022-09-03T21:03:41.040Z,"",earthquake,7.9,1.8,0.042,177,reviewed,us,us
2022-06-25T05:51:08.421Z,26.5681,54.2627,10,4.2,mb,27,119,2.382,0.63,us,us6000hysw,2022-09-03T21:03:20.040Z,"24 km E of K?sh, Iran",earthquake,6.2,1.9,0.137,16,reviewed,us,us
2022-06-25T05:50:14.812Z,26.6924,54.1752,10,4.3,mb,39,117,2.524,0.69,us,us6000hysv,2022-09-03T21:03:20.040Z,"21 km NE of K?sh, Iran",earthquake,6.1,1.9,0.106,26,reviewed,us,us
2022-06-25T03:43:59.875Z,26.4087,54.293,10,4.6,mb,18,165,2.257,0.59,us,us6000hyst,2022-09-03T21:03:20.040Z,"31 km ESE of K?sh, Iran",earthquake,13.6,1.9,0.274,5,reviewed,us,us
2022-06-25T03:37:14.329Z,26.7341,54.2683,12,5.6,mww,150,42,2.493,0.83,us,us7000hk3w,2022-09-03T21:03:36.040Z,"31 km NE of K?sh, Iran",earthquake,7.7,1.7,0.062,25,reviewed,us,us
2022-06-24T23:47:23.914Z,26.4942,54.1624,10,4.1,mb,31,122,2.402,0.32,us,us7000hk35,2022-08-28T03:21:19.040Z,"15 km ESE of K?sh, Iran",earthquake,8.5,1.7,0.12,19,reviewed,us,us
2022-06-24T13:32:27.379Z,26.6697,54.22,10,4.3,mb,42,80,2.479,0.3,us,us6000hyl5,2022-08-28T03:21:05.040Z,"23 km ENE of K?sh, Iran",earthquake,7.1,1.9,0.098,30,reviewed,us,us
